DateID,Dates,DailyAmbMov,DailyHospMov,DailyDeathsMov
,16/02/20,0,0,0
,17/02/20,0,0,0
,18/02/20,0,0,0
,19/02/20,0,0,0
,20/02/20,0,0,0
,21/02/20,0,0,0
,22/02/20,0,0,0
,23/02/20,0,0,0
,24/02/20,0,0,0
,25/02/20,0,0,0
,26/02/20,0,0,0
,27/02/20,0.14,0.14,0
,28/02/20,0.14,0.14,0
,29/02/20,0.14,0.14,0
,01/03/20,0.14,0.14,0
,02/03/20,0.14,0.14,0
,03/03/20,0.14,0.14,0
,04/03/20,0.29,0.14,0
,05/03/20,0.29,0.00,0.00
,06/03/20,0.29,0.00,0.00
,07/03/20,0.43,0.00,0.00
,08/03/20,0.57,0.00,0.00
,09/03/20,0.57,0.00,0.00
,10/03/20,1.00,0.00,0.00
,11/03/20,2.43,0.29,0.00
,12/03/20,4.29,0.86,0.00
,13/03/20,7.43,1.14,0.00
,14/03/20,10.43,1.14,0.00
,15/03/20,11.43,1.43,0.00
,16/03/20,14.86,1.86,0.00
,17/03/20,18.71,2.29,0.00
,18/03/20,20.71,2.71,0.00
,19/03/20,23.29,3.14,0.00
,20/03/20,23.00,3.43,0.00
,21/03/20,20.29,4.71,0.00
,22/03/20,19.43,5.43,0.14
,23/03/20,18.00,6.57,0.29
,24/03/20,16.86,7.86,0.29
,25/03/20,15.57,8.43,0.43
,26/03/20,15.57,10.00,0.86
,27/03/20,15.29,12.29,1.43
,28/03/20,17.86,15.00,1.57
,29/03/20,19.71,16.86,1.71
,30/03/20,25.14,18.43,2.14
,31/03/20,27.00,18.86,3.00
,01/04/20,28.86,21.43,3.57
,02/04/20,31.29,22.14,3.86
,03/04/20,34.86,24.29,4.29
,04/04/20,35.00,25.29,4.86
,05/04/20,35.43,27.43,5.00
,06/04/20,35.71,33.29,6.29
,07/04/20,41.71,38.43,6.86
,08/04/20,47.29,42.71,6.86
,09/04/20,50.29,48.14,8.00
,10/04/20,58.00,50.86,10.00
,11/04/20,64.14,52.71,12.00
,12/04/20,68.57,56.71,12.86
,13/04/20,85.71,61.43,13.00
,14/04/20,97.00,65.71,14.71
,15/04/20,107.29,70.00,17.00
,16/04/20,118.29,75.29,18.29
,17/04/20,137.29,80.71,17.86
,18/04/20,140.71,88.86,18.29
,19/04/20,147.14,92.57,21.00
,20/04/20,165.29,99.14,23.43
,21/04/20,186.57,106.29,25.00
,22/04/20,205.29,112.29,25.86
,23/04/20,215.43,116.86,27.43
,24/04/20,234.86,124.71,30.71
,25/04/20,240.71,127.71,35.29
,26/04/20,242.14,131.86,38.00
,27/04/20,248.14,132.14,40.00
,28/04/20,255.43,139.00,40.29
,29/04/20,271.57,146.14,44.14
,30/04/20,292.29,152.00,50.00
,01/05/20,265.29,154.00,53.14
,02/05/20,276.57,152.57,53.14
,03/05/20,285.43,154.29,55.14
,04/05/20,314.00,158.29,57.29
,05/05/20,320.86,158.57,62.57
,06/05/20,340.57,156.71,65.71
,07/05/20,361.43,158.29,63.29
,08/05/20,419.43,164.14,64.00
,09/05/20,427.71,166.00,66.29
,10/05/20,426.14,177.29,68.14
,11/05/20,428.43,188.86,69.71
,12/05/20,456.86,193.00,69.43
,13/05/20,476.29,201.00,71.29
,14/05/20,487.57,204.57,76.14
,15/05/20,502.57,209.00,80.14
,16/05/20,520.43,218.57,83.71
,17/05/20,526.00,212.86,86.57
,18/05/20,561.43,212.71,89.43
,19/05/20,590.86,213.14,92.86
,20/05/20,614.00,212.00,91.57
,21/05/20,634.71,213.00,92.71
,22/05/20,640.14,206.71,91.71
,23/05/20,630.29,202.00,91.43
,24/05/20,631.43,200.14,90.71
,25/05/20,628.14,198.00,89.29
,26/05/20,608.71,199.43,88.86
,27/05/20,598.29,200.14,90.14
,28/05/20,577.43,203.86,88.29
,29/05/20,578.43,203.71,86.43
,30/05/20,579.71,209.00,84.00
,31/05/20,583.57,211.57,85.00
,01/06/20,589.71,208.57,86.86
,02/06/20,593.71,205.00,83.14
,03/06/20,597.57,203.14,83.86
,04/06/20,616.86,195.86,84.14
,05/06/20,618.43,197.00,84.43
,06/06/20,621.71,191.43,87.00
,07/06/20,618.57,191.57,84.71
,08/06/20,617.57,188.57,83.71
,09/06/20,629.57,188.43,85.43
,10/06/20,623.29,187.71,84.43
,11/06/20,618.29,184.86,84.86
,12/06/20,618.57,179.29,85.71
,13/06/20,605.43,174.29,86.14
,14/06/20,602.57,169.57,85.43
,15/06/20,588.14,169.43,81.43
,16/06/20,590.57,164.29,83.57
,17/06/20,598.14,155.86,84.00
,18/06/20,608.14,153.86,82.00
,19/06/20,604.43,152.57,81.29
,20/06/20,611.43,151.71,75.71
,21/06/20,609.71,145.14,76.14
,22/06/20,603.57,140.57,75.86
,23/06/20,590.43,140.57,71.14
,24/06/20,572.86,139.86,64.86
,25/06/20,562.71,136.57,60.57
,26/06/20,568.00,134.57,58.29
,27/06/20,558.86,133.86,59.29
,28/06/20,559.14,138.43,55.86
,29/06/20,573.43,139.57,53.71
,30/06/20,584.00,134.43,53.71
,01/07/20,613.57,130.71,56.43
,02/07/20,621.00,128.00,56.71
,03/07/20,628.71,123.71,55.43
,04/07/20,631.43,121.43,55.14
,05/07/20,628.14,114.71,54.29
,06/07/20,631.86,112.00,56.57
,07/07/20,635.43,110.86,57.86
,08/07/20,629.86,110.00,54.00
,09/07/20,615.71,106.57,54.43
,10/07/20,605.71,106.00,51.71
,11/07/20,607.29,106.57,49.43
,12/07/20,605.14,109.86,49.86
,13/07/20,619.57,108.43,47.71
,14/07/20,616.71,107.00,45.86
,15/07/20,648.43,109.43,47.29
,16/07/20,696.71,113.29,46.43
,17/07/20,740.43,113.00,47.00
,18/07/20,779.00,111.29,47.71
,19/07/20,783.43,106.86,47.14
,20/07/20,795.57,103.71,47.14
,21/07/20,823.57,104.14,45.43
,22/07/20,822.57,104.86,42.86
,23/07/20,821.00,105.00,42.43
,24/07/20,803.43,105.43,41.57
,25/07/20,788.14,103.71,39.86
,26/07/20,789.43,104.86,38.14
,27/07/20,775.29,105.29,37.29
,28/07/20,762.71,106.14,37.14
,29/07/20,746.43,102.71,36.71
,30/07/20,735.57,101.86,36.43
,31/07/20,721.43,99.86,36.43
,01/08/20,721.71,98.71,35.29
,02/08/20,718.43,98.29,35.57
,03/08/20,693.57,97.71,35.29
,04/08/20,692.86,93.86,35.57
,05/08/20,686.86,93.29,38.43
,06/08/20,676.29,88.43,37.57
,07/08/20,680.00,89.00,38.86
,08/08/20,667.86,91.29,41.71
,09/08/20,660.86,89.43,39.71
,10/08/20,668.71,83.57,39.71
,11/08/20,670.71,83.14,38.14
,12/08/20,671.43,82.57,36.71
,13/08/20,679.14,85.57,36.29
,14/08/20,688.00,85.14,35.00
,15/08/20,693.71,81.43,32.43
,16/08/20,694.29,82.29,33.14
,17/08/20,706.86,88.57,33.14
,18/08/20,730.00,89.29,33.71
,19/08/20,748.71,87.86,33.86
,20/08/20,744.00,86.86,35.14
,21/08/20,751.14,89.57,34.71
,22/08/20,753.29,91.29,35.00
,23/08/20,761.71,95.14,36.29
,24/08/20,776.14,93.29,36.57
,25/08/20,757.71,96.86,37.00
,26/08/20,798.29,99.43,37.14
,27/08/20,842.43,99.43,35.14
,28/08/20,872.00,96.14,36.57
,29/08/20,901.29,100.00,36.14
,30/08/20,901.71,97.00,35.86
,31/08/20,895.86,97.43,36.00
,01/09/20,950.57,94.14,36.71
,02/09/20,957.43,93.14,37.14
,03/09/20,966.29,95.14,38.14
,04/09/20,960.00,94.86,37.71
,05/09/20,952.14,91.86,39.00
,06/09/20,949.71,91.57,39.71
,07/09/20,940.00,92.71,39.00
,08/09/20,930.57,93.57,37.29
,09/09/20,906.43,94.71,36.57
,10/09/20,890.57,92.00,36.86
,11/09/20,884.43,93.14,37.43
,12/09/20,895.14,92.86,37.00
,13/09/20,890.86,94.57,36.14
,14/09/20,891.57,91.71,35.71
,15/09/20,808.57,89.71,37.14
,16/09/20,660.57,85.14,35.86
,17/09/20,662.57,91.57,35.29
,18/09/20,657.29,90.71,34.29
,19/09/20,644.57,92.00,32.43
,20/09/20,648.57,92.43,31.29
,21/09/20,646.57,93.14,31.29
,22/09/20,715.00,91.43,30.00
,23/09/20,850.71,93.14,32.43
,24/09/20,838.71,88.71,32.57
,25/09/20,835.57,87.57,31.71
,26/09/20,850.86,84.43,32.86
,27/09/20,857.14,83.57,34.71
,28/09/20,878.00,84.43,34.71
,29/09/20,870.43,88.14,36.71
,30/09/20,865.43,93.71,35.43
,01/10/20,870.57,93.57,35.00
,02/10/20,856.14,95.43,35.86
,03/10/20,827.29,96.71,35.71
,04/10/20,817.43,95.57,35.00
,05/10/20,806.14,94.14,36.86
,06/10/20,803.14,96.57,35.29
,07/10/20,805.71,96.29,33.71
,08/10/20,806.43,95.00,34.29
,09/10/20,831.29,93.86,33.43
,10/10/20,829.57,96.86,33.71
,11/10/20,836.86,101.00,34.00
,12/10/20,866.86,100.57,33.86
,13/10/20,888.14,98.14,33.57
,14/10/20,889.86,94.71,35.00
,15/10/20,911.57,95.14,33.71
,16/10/20,953.00,97.29,34.71
,17/10/20,971.71,96.57,34.71
,18/10/20,976.00,96.14,34.57
,19/10/20,1063.00,97.71,34.57
,20/10/20,1149.14,99.71,34.57
,21/10/20,1221.29,101.00,36.57
,22/10/20,1279.57,102.29,38.00
,23/10/20,1331.29,103.57,38.86
,24/10/20,1344.29,104.43,37.71
,25/10/20,1344.57,102.29,38.71
,26/10/20,1359.29,102.00,37.86
,27/10/20,1351.14,101.43,37.71
,28/10/20,1377.00,103.71,37.43
,29/10/20,1367.14,102.00,37.14
,30/10/20,1320.86,98.43,36.00
,31/10/20,1310.14,96.71,37.86
,01/11/20,1307.00,96.86,38.29
,02/11/20,1121.14,96.14,38.14
,03/11/20,1153.86,97.14,38.14
,04/11/20,1156.57,99.86,39.43
,05/11/20,1190.57,103.14,41.00
,06/11/20,1215.29,109.57,42.43
,07/11/20,1229.43,113.29,43.43
,08/11/20,1229.00,119.29,42.57
,09/11/20,1464.43,127.14,44.14
,10/11/20,1483.00,130.14,45.43
,11/11/20,1498.57,134.29,43.00
,12/11/20,1495.14,137.29,45.43
,13/11/20,1523.57,140.43,45.86
,14/11/20,1537.00,142.29,46.14
,15/11/20,1547.57,144.00,47.00
,16/11/20,1279.71,139.57,47.86
,17/11/20,1305.57,140.71,48.57
,18/11/20,1309.86,139.71,51.14
,19/11/20,1311.00,143.71,49.86
,20/11/20,1318.14,142.71,51.86
,21/11/20,1335.86,143.00,52.71
,22/11/20,1340.71,144.86,56.29
,23/11/20,1635.43,157.43,58.57
,24/11/20,1657.86,162.86,60.00
,25/11/20,1702.43,165.00,61.86
,26/11/20,1784.86,167.14,64.00
,27/11/20,1875.86,171.43,65.29
,28/11/20,1912.57,174.57,66.86
,29/11/20,1918.29,175.14,64.57
,30/11/20,2015.43,171.57,65.29
,01/12/20,2133.29,172.29,69.71
,02/12/20,2299.57,176.86,70.14
,03/12/20,2448.00,177.29,70.14
,04/12/20,2606.86,185.14,72.43
,05/12/20,2727.86,192.57,72.57
,06/12/20,2743.71,200.43,75.57
,07/12/20,2924.71,207.14,79.57
,08/12/20,3020.57,214.71,79.43
,09/12/20,3097.29,219.86,82.43
,10/12/20,3191.14,226.14,88.14
,11/12/20,3242.57,225.57,90.14
,12/12/20,3265.43,227.14,95.00
,13/12/20,3258.29,224.43,97.71
,14/12/20,3271.29,227.29,97.43
,15/12/20,3336.14,233.57,101.00
,16/12/20,3369.29,237.86,103.86
,17/12/20,3372.57,247.14,104.86
,18/12/20,3431.43,253.57,107.14
,19/12/20,3432.14,256.29,110.43
,20/12/20,3437.00,264.43,112.29
,21/12/20,3479.57,265.43,115.14
,22/12/20,3474.43,267.00,116.57
,23/12/20,3480.57,268.57,117.86
,24/12/20,3395.14,265.86,119.29
,25/12/20,2813.71,263.71,116.71
,26/12/20,2704.86,264.00,118.86
,27/12/20,2724.00,269.86,123.71
,28/12/20,2785.71,274.29,124.71
,29/12/20,2843.00,272.14,128.00
,30/12/20,2863.86,267.86,129.86
,31/12/20,2903.29,265.29,129.71
,01/01/21,2919.57,261.14,135.14
,02/01/21,2918.14,264.14,135.29
,03/01/21,2935.29,256.00,138.29
,04/01/21,2980.71,257.43,142.00
,05/01/21,3097.14,255.71,140.57
,06/01/21,3262.43,263.00,144.71
,07/01/21,3494.86,274.29,147.14
,08/01/21,4192.14,287.14,149.86
,09/01/21,4398.14,287.71,150.86
,10/01/21,4417.43,293.57,150.43
,11/01/21,4475.43,294.86,152.29
,12/01/21,4452.29,302.14,154.71
,13/01/21,4433.86,305.29,150.71
,14/01/21,4400.71,308.57,152.86
,15/01/21,4346.14,311.29,154.86
,16/01/21,4320.57,317.00,154.86
,17/01/21,4300.86,313.57,155.29
,18/01/21,4209.43,318.00,154.57
,19/01/21,4149.71,319.57,158.86
,20/01/21,4034.14,317.29,165.71
,21/01/21,3892.14,314.00,163.86
,22/01/21,3788.14,314.00,163.14
,23/01/21,3722.00,309.14,164.00
,24/01/21,3719.29,313.00,165.57
,25/01/21,3607.57,306.29,170.00
,26/01/21,3513.71,298.00,171.86
,27/01/21,3396.43,296.00,168.71
,28/01/21,3286.57,283.71,169.00
,29/01/21,3107.71,275.14,167.71
,30/01/21,3010.57,269.14,166.29
,31/01/21,2985.86,257.00,164.29
,01/02/21,2462.57,245.14,159.86
,02/02/21,2328.86,242.71,151.86
,03/02/21,2184.43,231.57,148.29
,04/02/21,2074.14,225.71,143.71
,05/02/21,2011.43,220.00,140.00
,06/02/21,1967.14,214.29,137.43
,07/02/21,1940.00,207.57,130.29
,08/02/21,2235.14,209.43,124.14
,09/02/21,2073.14,198.57,121.57
,10/02/21,1998.57,192.86,115.86
,11/02/21,1899.14,186.29,113.29
,12/02/21,1848.00,180.57,110.43
,13/02/21,1814.00,174.14,108.57
,14/02/21,1810.57,174.14,108.86
,15/02/21,1712.00,165.43,103.71
,16/02/21,1662.00,170.14,102.57
,17/02/21,1599.86,167.29,102.71
,18/02/21,1569.00,165.29,101.14
,19/02/21,1526.29,159.43,97.71
,20/02/21,1514.14,162.57,93.43
,21/02/21,1516.29,161.86,91.14
,22/02/21,1540.14,162.00,93.14
,23/02/21,1549.86,152.29,86.57
,24/02/21,1552.71,153.29,85.00
,25/02/21,1570.71,151.57,84.57
,26/02/21,1553.29,150.57,84.00
,27/02/21,1564.14,148.43,83.00
,28/02/21,1570.86,147.29,82.00
,01/03/21,1549.00,144.14,80.00
,02/03/21,1515.43,147.71,82.57
,03/03/21,1498.86,148.00,81.00
,04/03/21,1463.29,151.00,81.86
,05/03/21,1449.14,149.14,83.43
,06/03/21,1428.00,147.57,81.71
,07/03/21,1415.86,145.86,78.00
,08/03/21,1351.57,146.71,78.00
,09/03/21,1299.43,141.57,74.86
,10/03/21,1224.43,134.71,73.14
,11/03/21,1177.29,128.29,73.43
,12/03/21,1126.43,125.00,67.57
,13/03/21,1104.57,120.14,69.43
,14/03/21,1104.86,117.43,71.43
,15/03/21,900.71,111.14,68.14
,16/03/21,934.43,110.71,66.71
,17/03/21,945.71,109.57,64.86
,18/03/21,935.57,109.86,57.57
,19/03/21,904.86,110.86,60.29
,20/03/21,885.57,110.29,56.29
,21/03/21,881.71,107.14,52.29
,22/03/21,1034.43,107.43,51.00
,23/03/21,969.00,105.29,51.00
,24/03/21,932.57,102.71,52.29
,25/03/21,904.00,101.71,54.14
,26/03/21,892.14,97.43,49.43
,27/03/21,889.71,96.43,49.57
,28/03/21,882.29,98.71,50.71
,29/03/21,853.14,94.86,50.86
,30/03/21,824.00,88.86,49.29
,31/03/21,809.29,87.29,45.43
,01/04/21,722.14,81.57,43.86
,02/04/21,626.86,80.86,44.43
,03/04/21,583.57,77.00,44.29
,04/04/21,582.14,70.43,41.71
,05/04/21,585.86,69.00,38.43
,06/04/21,595.29,66.71,36.43
,07/04/21,596.29,67.29,37.14
,08/04/21,666.43,68.71,36.57
,09/04/21,744.86,68.57,35.71
,10/04/21,783.43,70.57,32.29
,11/04/21,782.57,71.00,31.71
,12/04/21,752.86,71.14,33.29
,13/04/21,727.86,72.00,33.71
,14/04/21,702.86,68.57,32.29
,15/04/21,692.86,67.29,31.71
,16/04/21,662.86,62.43,30.00
,17/04/21,647.00,58.86,31.29
,18/04/21,642.29,59.71,30.14
,19/04/21,615.14,58.14,28.57
,20/04/21,588.86,56.43,27.00
,21/04/21,575.43,54.00,26.71
,22/04/21,540.14,50.14,26.14
,23/04/21,524.29,49.00,26.57
,24/04/21,512.43,47.29,24.57
,25/04/21,509.86,42.57,23.71
,26/04/21,488.14,38.86,23.57
,27/04/21,468.86,37.29,23.29
,28/04/21,452.29,36.14,23.29
,29/04/21,441.86,35.86,22.29
,30/04/21,427.57,35.86,21.14
,01/05/21,403.14,35.57,20.71
,02/05/21,404.71,35.57,19.57
,03/05/21,390.43,35.57,18.29
,04/05/21,363.43,34.29,16.86
,05/05/21,344.43,32.57,14.57
,06/05/21,322.43,32.86,13.00
,07/05/21,312.14,31.86,12.57
,08/05/21,325.57,29.71,11.57
,09/05/21,316.00,28.86,11.71
,10/05/21,275.00,28.14,11.43
,11/05/21,281.43,26.43,10.86
,12/05/21,272.71,24.71,10.57
,13/05/21,268.14,22.29,9.71
,14/05/21,263.00,20.43,9.57
,15/05/21,257.86,22.00,9.57
,16/05/21,258.86,21.14,8.57
,17/05/21,278.00,19.71,7.43
,18/05/21,261.71,21.00,8.00
,19/05/21,258.29,21.14,7.71
,20/05/21,256.14,21.43,8.29
,21/05/21,251.43,21.00,7.57
,22/05/21,247.71,18.86,7.57
,23/05/21,247.43,18.57,7.71
,24/05/21,236.71,18.57,8.00
,25/05/21,242.71,17.00,7.71
,26/05/21,239.14,16.86,7.29
,27/05/21,236.86,15.57,7.29
,28/05/21,243.71,15.29,6.86
,29/05/21,243.14,14.86,6.00
,30/05/21,244.00,13.71,5.29
,31/05/21,253.57,14.43,4.71
,01/06/21,254.71,14.00,4.29
,02/06/21,272.14,14.00,4.14
,03/06/21,282.71,14.71,3.57
,04/06/21,284.71,16.00,3.43
,05/06/21,291.57,17.00,3.57
,06/06/21,292.71,18.00,3.71
,07/06/21,316.43,17.57,3.43
,08/06/21,349.00,19.86,3.86
,09/06/21,366.43,20.14,3.71
,10/06/21,380.29,20.43,3.57
,11/06/21,403.00,20.71,3.86
,12/06/21,413.00,20.71,3.86
,13/06/21,416.00,21.71,3.57
,14/06/21,432.71,21.14,4.14
,15/06/21,432.71,20.86,3.71
,16/06/21,430.43,21.43,4.14
,17/06/21,443.14,20.86,4.86
,18/06/21,428.43,19.43,4.29
,19/06/21,422.14,17.29,3.71
,20/06/21,409.00,14.43,3.57