Entities,Clave,Alpha,Nu,Mu,qr,vac_start,epi_start,PoblacionMid2020
Nacional,0,0.91,3.8,8.7,0,15/02/21,19/02/20,127792286
Aguascalientes,1,0.91,3.6,7,0.8,15/02/21,07/03/20,1434635
BajaCalifornia,2,0.84,4.2,8,0.69,15/02/21,09/03/20,3634868
BajaCaliforniaSur,3,0.95,2.9,9,0.92,15/02/21,13/03/20,804708
Campeche,4,0.88,5.3,6,0.76,15/02/21,08/03/20,1000617
Coahuila,5,0.91,3.7,6,0.83,15/02/21,27/02/20,3218720
Colima,6,0.9,3.8,8,0.78,15/02/21,12/03/20,785153
Chiapas,7,0.86,4,7,0.7,15/02/21,13/03/20,5730367
Chihuahua,8,0.87,4.3,6,0.77,15/02/21,12/03/20,3801487
CDMX,9,0.95,3.5,7,0.9,15/02/21,22/02/20,9018645
Durango,10,0.93,3.5,6,0.87,15/02/21,06/03/20,1868996
Guanajuato,11,0.92,4,6,0.84,15/02/21,01/03/20,6228175
Guerrero,12,0.89,4.5,6,0.79,15/02/21,08/03/20,3657048
Hidalgo,13,0.84,4.6,7,0.67,15/02/21,08/03/20,3086414
Jalisco,14,0.86,4.2,6,0.72,15/02/21,01/03/20,8409693
Mexico,15,0.87,4.1,6,0.7,15/02/21,19/02/20,17427790
Michoacan,16,0.88,4.9,6,0.76,15/02/21,09/03/20,4825401
Morelos,17,0.9,3.5,5,0.78,15/02/21,02/03/20,2044058
Nayarit,18,0.85,3.7,7,0.67,15/02/21,10/03/20,1288571
NuevoLeon,19,0.93,4,8,0.82,15/02/21,02/03/20,5610153
Oaxaca,20,0.92,3.8,7,0.84,15/02/21,09/03/20,4143593
Puebla,21,0.86,4.8,6,0.73,15/02/21,05/03/20,6604451
Queretaro,22,0.94,4.4,8,0.87,15/02/21,05/03/20,2279637
QuintanaRoo,23,0.88,3.8,7,0.79,15/02/21,01/03/20,1723259
SanLuisPotosi,24,0.92,4.2,5,0.86,15/02/21,07/03/20,2866142
Sinaloa,25,0.84,4.9,7,0.71,15/02/21,09/03/20,3156674
Sonora,26,0.91,4.5,6,0.8,15/02/21,10/03/20,3074745
Tabasco,27,0.94,4.6,7,0.89,15/02/21,04/03/20,2572287
Tamaulipas,28,0.92,4.2,5,0.85,15/02/21,13/03/20,3650602
Tlaxcala,29,0.88,4.4,6,0.77,15/02/21,22/03/20,1380011
Veracruz,30,0.84,4.1,6,0.68,15/02/21,03/03/20,8539862
Yucatan,31,0.9,3.2,7,0.82,15/02/21,29/02/20,2259098
Zacatecas,32,0.91,4.2,6,0.83,15/02/21,02/03/20,1666426